CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIN6826;D;TIPO8;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;3601;11593;6;60
CLIN6827;D;TIPO8;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;La Rioja;NO;NO;NO;NA;NO DATA;Averia leve;SI;1708;12293;4;48
CLIN6828;D;TIPO8;FUEL 2;Alta;M;Otros;CASADO;M;Funcionario;Guipuzcua;NO;NO;NO;NA;SI;Averia muy grave;SI;1708;20034;7;42
CLIN6829;D;TIPO8;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;0;13053;8;44
CLIN6830;D;TIPO8;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;0;14145;8;57
CLIN6831;D;TIPO8;FUEL 2;Media;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;0;27285;8;52
CLIN6832;D;TIPO8;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Vizcaya;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;2092;19325;4;50
CLIN6833;D;TIPO8;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;SI;0;11276;9;61
CLIN6834;D;TIPO8;FUEL 2;Media;M;Contado;CASADO;F;Empresa;Lacoruna;SI;NO;NO;NA;SI;Averia grave;NO;2135;20049;7;49
CLIN6835;D;TIPO8;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Lacoruna;NO;SI;NO;Alto;NO DATA;No;NO;0;14496;9;60
CLIN6836;D;TIPO6;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Teruel;SI;NO;NO;Alto;SI;No;NO;5037;22771;3;43
CLIN6837;D;TIPO1;FUEL 1;Media;M;Financiera Banco;CASADO;F;Empresa;Tarragona;SI;NO;NO;Alto;SI;No;NO;4031;6142;5;52
CLIN6838;D;TIPO1;FUEL 1;Media;M;Financiera Banco;CASADO;M;Empresa;Murcia;NO;SI;NO;Otros;NO DATA;No;NO;2100;7418;5;60
CLIN6839;D;TIPO1;FUEL 1;Media;M;Contado;SOLTERO;M;Empresa;Murcia;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;4282;31277;2;60
CLIN6840;D;TIPO1;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Murcia;NO;NO;NO;Alto;NO DATA;No;NO;6047;36119;7;39
CLIN6841;D;TIPO1;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;5542;0;2;55
CLIN6842;D;TIPO1;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;SI;Averia muy grave;SI;5542;10773;2;61
CLIN6843;D;TIPO1;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Alicante;NO;NO;NO;NA;NO DATA;Averia grave;NO;4053;6225;4;40
CLIN6844;D;TIPO1;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Cantabria;NO;SI;NO;Medio;NO DATA;Averia muy grave;SI;2621;12084;4;55
CLIN6845;D;TIPO1;FUEL 2;Alta;M;Financiera Banco;CASADO;M;Empresa;Tarragona;NO;NO;NO;Alto;SI;Averia leve;NO;5739;18249;6;61
CLIN6846;D;TIPO1;FUEL 2;Alta;M;Contado;SOLTERO;M;Empresa;Alava;NO;NO;NO;Medio;NO DATA;Averia grave;NO;9663;17316;6;55
CLIN6847;D;TIPO1;FUEL 2;Alta;M;Contado;SOLTERO;M;Empresa;Leon;NO;NO;NO;Alto;SI;Averia muy grave;SI;5037;20414;6;42
CLIN6848;D;TIPO1;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Alto;SI;No;NO;5037;21468;4;37
CLIN6849;D;TIPO1;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;SI;SI;NO;Alto;SI;Averia leve;NO;7554;40735;0;39
CLIN6850;D;TIPO1;FUEL 2;Alta;M;Financiera Banco;CASADO;M;Funcionario;Alicante;NO;NO;NO;Alto;NO DATA;Averia leve;NO;5037;15011;5;40
CLIN6851;D;TIPO1;FUEL 2;Alta;M;Otros;OTROS;F;Empresa;Pontevedra;SI;NO;NO;NA;SI;No;NO;5037;14490;2;37
CLIN6852;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Sevilla;NO;NO;NO;Alto;SI;No;SI;1259;14468;4;57
CLIN6853;D;TIPO1;FUEL 2;Media;M;Financiera Banco;CASADO;F;Empresa;Gerona;SI;SI;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;2772;12463;6;54
CLIN6854;D;TIPO1;FUEL 2;Media;M;Contado;EN PAREJA;M;Empresa;Madrid;NO;NO;NO;NA;NO DATA;Averia leve;NO;4225;13497;4;46
CLIN6855;D;TIPO1;FUEL 2;Media;M;Financiera Marca;CASADO;F;Empresa;Las Palmas;SI;NO;NO;Medio;SI;Averia grave;SI;6047;39979;3;49
CLIN6856;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;Averia grave;NO;2569;9612;5;46
CLIN6857;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Valencia;NO;NO;NO;Medio-Bajo;NO DATA;Averia leve;NO;2854;6639;7;42
CLIN6858;D;TIPO1;FUEL 2;Media;M;Financiera Banco;SOLTERO;M;Funcionario;Huelva;NO;NO;NO;Otros;NO DATA;No;NO;5037;21394;4;51
CLIN6859;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Funcionario;Murcia;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2854;11300;4;38
CLIN6860;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;La Rioja;NO;SI;NO;Alto;NO DATA;Averia grave;NO;7009;24221;4;58
CLIN6861;D;TIPO1;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Tarragona;SI;NO;NO;Medio;SI;Averia grave;NO;4985;18518;4;49
CLIN6862;D;TIPO1;FUEL 2;Media;M;Financiera Banco;CASADO;M;Empresa;Burgos;SI;SI;NO;Alto;SI;Averia muy grave;SI;5566;11946;6;43
CLIN6863;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Asturias;NO;SI;NO;Alto;NO DATA;Averia muy grave;SI;3535;7998;6;51
CLIN6864;D;TIPO1;FUEL 2;Media;M;Financiera Banco;CASADO;M;Empresa;Granada;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;6597;9456;3;54
