CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Edad Cliente
55604,0,0,0,1,1,0,0,1,1,8,0,0,0,0,1,3,0,2.21,1376,9780,1,50
55715,0,0,0,1,1,2,0,0,1,19,1,0,0,3,0,3,0,2.39,3850,0,1,18
55827,0,0,0,1,1,3,0,1,1,7,1,0,0,2,0,0,0,1.77,3213,0,1,20
55938,0,0,0,1,1,1,2,1,1,8,1,0,0,3,1,1,0,2.35,2594,10219,0,45
56049,0,0,0,1,1,2,0,0,1,2,1,0,0,3,1,2,1,2.44,2015,5569,0,49
56160,0,0,0,1,1,3,0,0,1,52,0,0,0,2,1,2,1,2.42,1376,20876,0,19
56271,0,0,0,1,1,2,0,0,1,32,1,0,0,2,1,2,1,2.45,2015,25550,0,45
56382,0,0,0,1,1,0,0,0,1,35,0,0,0,3,1,3,0,2.45,1376,18674,0,58
56493,0,0,0,1,1,0,0,0,1,4,0,0,0,3,0,2,1,2.39,1376,0,0,25
56604,0,0,0,1,1,2,0,0,1,48,1,0,0,0,1,1,0,2.45,2015,10132,0,42
56715,0,0,0,1,1,0,4,0,1,26,1,0,0,2,1,3,0,2.39,2892,14797,1,54
56826,0,0,0,1,1,0,4,0,1,27,0,0,0,3,0,0,0,2.02,1376,0,1,26
56938,0,0,0,1,1,2,0,1,1,41,0,0,1,1,0,3,0,1.54,2611,0,0,26
57049,0,0,0,1,1,0,0,1,1,32,1,0,0,0,1,2,1,2.48,2208,6428,1,46
57160,0,0,0,1,1,3,0,1,1,39,1,0,0,2,1,3,0,2.39,2892,30078,1,60
57271,0,0,0,1,1,0,4,1,1,32,0,0,0,1,1,0,0,2.33,1376,17082,0,47
57382,0,0,0,1,1,2,0,1,1,32,0,0,1,0,0,3,0,1.76,2169,0,1,25
57493,0,0,0,1,1,2,4,1,1,32,1,0,1,2,1,1,0,2.39,1376,17003,0,46
57604,0,0,0,1,1,2,4,1,1,32,0,0,1,1,0,0,0,1.68,4193,0,0,19
57715,0,0,0,1,1,3,4,1,1,28,0,0,0,1,0,3,0,1.93,2031,0,0,31
57826,0,0,0,1,1,2,4,0,1,27,1,0,1,1,0,1,0,2.23,1376,0,0,30
57937,0,0,0,1,1,3,0,0,1,39,1,0,0,1,1,2,1,2.4,2892,7363,1,38
2,0,0,0,1,1,2,2,0,1,19,1,0,1,3,1,3,0,2.26,920,20320,0,62
113,0,0,0,1,1,2,0,1,1,7,1,0,0,3,0,2,1,2.43,3850,0,1,21
224,0,0,0,1,1,2,4,1,1,41,1,0,1,0,0,3,0,2.16,3555,0,1,18
335,0,0,0,1,1,2,0,0,1,8,0,0,1,1,0,1,0,1.72,2169,0,0,20
